Biomass Moisture ,Biomass Volatile matter,Biomass Fixed carbon,Biomass Ash,C% Biomass,H% Biomass,O% Biomass,N% Biomass,C% Polymer,H% Polymer,O% Polymer,N% Polymer,Cl% Polymer,h,C/min,w%P,C degrees,Liquid%
9.5,67.6,16.6,6.3,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.58,5,60,390,60
9.5,67.6,16.6,6.3,49.2,2.2,48,0.44,85.1,14.3,0,0.3,0,0.58,5,50,390,53
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.25,10,60,400,60.8
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.75,10,40,600,57.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,40,500,56.6
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.25,10,40,400,50.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.75,10,60,600,68.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,400,60.8
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.75,10,50,500,61.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.75,10,60,400,62.9
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.1
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,60,500,64.1
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,500,61.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.25,10,40,600,55.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.75,10,40,400,55.3
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.25,10,50,500,56.9
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.5,10,50,600,62.2
8.43,69.4,19.27,2.9,44.29,9.01,43.13,2.37,91.2,8.8,0,0,0,0.25,10,60,600,64.1
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,25,600,64
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,33,600,68
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,50,600,72
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,67,600,76
4.01,79.61,10.38,6,50.61,7.31,24.75,6.68,84.32,15.47,0,0,0,0.5,10,75,600,80
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,82.5,13.1,1.8,0.1,0,0.5,10,50,500,53.1
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,83.3,12.6,0.7,0,0,0.5,10,50,500,56
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,69,5,32.7,0,0,0.5,10,50,500,37.9
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,81,11.4,0.6,0.1,0,0.5,10,50,500,51.6
7.8,93.3,6.7,0.3,50.1,5.4,48.6,0.1,87.8,9.5,0,0,0,0.5,10,50,500,66.3
3.13,81.5,13.79,1.58,49.5,6.43,42.99,0.07,84.8,14.55,0.28,0.14,0,0.83,5,30,600,63.86
4.5,87.55,6.65,1.3,47.5,6.37,40.85,0.29,84.8,14.55,0.28,0.14,0,0.83,5,30,600,57.41
8.1,71.2,18.6,2.1,47.4,5.8,44.7,2.1,85.4,14.6,0,0,0,1,10,50,500,59.5
